"On a scale of 1-10 (1 being low, 10 being high), how would you rank your understanding of the issues surrounding this controversy?",Survey Respondents: Pre-Broadcast Percent,Survey Respondents: Post-Broadcast Percent of Responses
1,0,0
2,0,0
3,0.019607843,0
4,0.019607843,0
5,0.098039216,0.041666667
6,0.156862745,0
7,0.156862745,0.208333333
8,0.31372549,0.291666667
9,0.117647059,0.291666667
10,0.117647059,0.166666667
