"1988","43","19003989"
"1988","44","18886606"
"1988","45","19722238"
"1988","46","19770225"
"1988","47","19952845"
"1988","48","16762193"
"1988","49","19393159"
"1988","50","20018057"
"1988","51","19263438"
"1988","52","19167661"
"1988","53","13446927"
"1989","1","16368023"
"1989","2","19733821"
"1989","3","20123728"
"1989","4","19720440"
"1989","5","17350025"
"1989","6","18063191"
"1989","7","19499764"
"1989","8","19551458"
"1989","9","19931376"
"1989","10","18804267"
"1989","11","20086072"
"1989","12","20044802"
"1989","13","19441654"
"1989","14","18848098"
"1989","15","19117040"
"1989","16","19215091"
"1989","17","18723225"
"1989","18","18945371"
"1989","19","19074883"
"1989","20","18952559"
"1989","21","18659430"
"1989","22","17858588"
"1989","23","19554441"
"1989","24","18294845"
"1989","25","16956861"
"1989","26","14458228"
"1989","27","11674119"
"1989","28","14178062"
"1989","29","17331699"
"1989","30","18812116"
"1989","31","18586745"
"1989","32","20103152"
"1989","33","20448901"
"1989","34","20482542"
"1989","35","20580416"
"1989","36","18444650"
"1989","37","20053729"
"1989","38","20369011"
"1989","39","20814195"
"1989","40","20601693"
"1989","41","20946545"
"1989","42","19798621"
"1989","43","20811915"
"1989","44","20961533"
"1989","45","21190070"
"1989","46","21163397"
"1989","47","16550648"
"1989","48","20495371"
"1989","49","21139396"
"1989","50","19456482"
"1989","51","15859273"
"1989","52","12497228"
"1990","1","17172372"
"1990","2","20400234"
"1990","3","20935935"
"1990","4","20759201"
"1990","5","20458845"
"1990","6","20964564"
"1990","7","20444339"
"1990","8","20362524"
"1990","9","20080103"
"1990","10","20259924"
"1990","11","20646826"
"1990","12","20955151"
"1990","13","20744099"
"1990","14","19087379"
"1990","15","20703318"
"1990","16","19963510"
"1990","17","19760697"
"1990","18","19850857"
"1990","19","19861160"
"1990","20","19692920"
"1990","21","19728096"
"1990","22","18397142"
"1990","23","20470250"
"1990","24","20081648"
"1990","25","19363091"
"1990","26","17318490"
"1990","27","13672745"
"1990","28","18483127"
"1990","29","20194206"
"1990","30","20200673"
"1990","31","19692826"
"1990","32","19894102"
"1990","33","20214409"
"1990","34","20547922"
"1990","35","20368950"
"1990","36","18621248"
"1990","37","21075030"
"1990","38","21205204"
"1990","39","20589069"
"1990","40","20494108"
"1990","41","20024555"
"1990","42","20443204"
"1990","43","20967099"
"1990","44","20824763"
"1990","45","20864365"
"1990","46","20753344"
"1990","47","16778949"
"1990","48","20692370"
"1990","49","21243348"
"1990","50","20857807"
"1990","51","17948864"
"1990","52","11109713"
"1990","53","2850855"
"1991","1","11742865"
"1991","2","19173810"
"1991","3","20526195"
