Year,All U.S. Electricity Comsumption (Billion kWh),Total Data Center Electricity Consumption (Billion kWh),Data Center Portion
2000,3592.357,28.2,0.78%
2005,3810.984,56,1.47%
2011,3886.403,76.4,1.97%
2013,3831.203,91,2.38%
X,X,X,X
Use or Appliance,Residential Electricity (Billion kWh),Commercial Electricity (Billion kWh),
Cooking,30.9,5.9,
Clothes Washers and Dryers,67.4,,
Computers,38.1,38.1,
Data Centers,,76.4,
TVs,96.7,,
Refrigeration,111.4,114.3,
