year,total-us-distributed-wind-cumulative-MW,annual-additional-capacity-MW,annual-additional-capacity-100-kw-or-smaller-MW,total-capacity-100kw-or-smaller-MW
2003,32,32.286,3.2,3.2
2004,64,31.346,4.9,8.1
2005,89,25.735,3.3,11.4
2006,155,65.25998,8.6,20
2007,206,50.99823,9.7,29.7
2008,309,103.5592,17.4,47.1
2009,430,120.9182,20.4,67.5
2010,528,99.55823,25.6,93.1
2011,636,107.848,19,112.1
2012,812,174.699,18.4,130.5
2013,842,30.48,5.6,136.1
2014,906,63.515,3.7,139.8
