Year,Natural Gas Total Technically Recoverable Resources (Trillion cubic feet),Natural Gas Proved Reserves (trillion cubic feet)
1996,1175.94,175.147
1997,1259.47,175.721
1998,1281.14,172.443
1999,1190.62,176.159
2000,1288.89,186.51
2001,1279.48,191.743
2002,1337.47,195.561
2003,1304.04,197.145
2004,1340.97,201.2
2005,1364.61,213.308
2006,1747.47,220.416
2007,2188.7,247.789
2008,2543.3,255.035
2009,2203.3,283.879
2010,2335,317.647
2011,2266,348.809
