Beverage,MJ/liter,kcal/oz,kcal/liter,MJ/kcal,Btu / kcal,kcal in/kcal out
Australian red wine,28,25,845,0.033136095,31.40639053,7.851597633
Beer (microbrew),4.4,13,439.4,0.010013655,9.490942194,2.372735548
